lon,lat,INCNUM
-86.2592872,39.8168274,40339
-86.12523999999999,39.7375881,40421
-86.18880399999999,39.8668,40298
-86.2206854,39.9048554,40328
-86.0089383,39.8225253,40164
-86.15292099999999,39.769444,40549
-86.1552244,39.8181082,40201
-86.2493891,39.7792876,40243
-86.00467320000001,39.904185,40299
-86.16036559999999,39.76718899999999,40526
-86.1113395,39.7090052,40748
-86.1639964,39.7269939,41044
-86.1292696,39.75564350000001,41547
-86.2414009,39.7536142,41717
-86.0455898,39.893073,41582
-86.259445,39.8236927,41733
-86.1572071,39.7973262,41780
-86.14868480000001,39.81120600000001,41830
-86.0392368,39.6870225,41834
-86.24399760000001,39.81117,41884
-86.0805695,39.7430767,41285
-86.1258493,39.8887543,42409
-86.0474759,39.78174509999999,42501
-86.1781244,39.8073664,42635
-85.994427,39.823421,42617
-86.115343,39.7737784,43103
-86.13988169999999,39.7192039,42839
-86.1578961,39.7720774,40552
-86.1866088,39.7987902,40593
-86.2662298,39.8202587,40853
-86.1509189,39.7612655,40878
-86.130113,39.664869,41483
-86.0622999,39.8280677,41481
-86.0349536,39.8961663,41715
-85.99094629999999,39.8225476,41912
-86.221418,39.7599466,39950
-86.2289039,39.8856802,41964
-86.17297099999999,39.8082952,41988
-86.15467559999999,39.76555889999999,40799
-86.1810168,39.6642922,40857
-86.1758589,39.66348929999999,41128
-86.06368400000001,39.7996101,41043
-86.00663759999999,39.7517136,41313
-86.1060935,39.8230583,41990
-86.15552749999999,39.7068344,42115
-86.2331299,39.6628813,42082
-86.07099269999999,39.821889,42313
-86.2983287,39.6618004,42180
-86.1176392,39.65333529999999,41047
-86.1255808,39.6825243,41341
-86.1604117,39.8075778,41398
-86.2266284,39.8097847,42312
-86.0845964,39.6930633,42471
-86.16098199999999,39.762453,42480
-86.1630644,39.8246295,42481
-86.1282911,39.7212741,42547
-86.1599071,39.7618491,42306
-86.1486539,39.7373889,42379
-86.00637689999999,39.8250167,42193
-86.21624670000001,39.7280075,42782
-85.9658096,39.8124183,41401
-86.2524801,39.6839023,41402
-86.10206699999999,39.77932000000001,41439
-86.2131283,39.7805707,41738
-86.1563307,39.7656018,41930
-86.02728359999999,39.7610521,42098
-86.265102,39.7746445,41993
-86.0833226,39.767045,42144
-86.19275619999999,39.8671267,42655
-86.229804,39.8984581,42796
-86.0094684,39.7880079,42660
-86.02820469999999,39.71638189999999,42671
-86.053747,39.8351738,42872
-86.14923689999999,39.7985443,42914
-85.96017049999999,39.7760128,41928
-86.20828999999999,39.8677149,42143
-86.2017506,39.773746,42134
-86.1892475,39.7963943,41002
